Category,Classical_PSNR,Quantum_PSNR,Classical_SSIM,Quantum_SSIM,Classical_LPIPS,Quantum_LPIPS,PSNR_Diff,SSIM_Diff,LPIPS_Diff
airplane,9.844131978805095,9.819794931588469,0.08131362029375,0.0592570139375,0.2563349427655339,0.2467734608799219,-0.024337047216626218,-0.02205660635625,-0.009561481885612011
automobile,8.586555300017844,8.624537293307522,0.009599757287500002,0.025620818825000002,0.21951551642268896,0.203909826464951,0.03798199328967833,0.0160210615375,-0.01560568995773795
bird,10.322489236420823,10.344982867115089,0.0632894165,0.052437020749999994,0.22693877806887028,0.2574318191036582,0.022493630694265576,-0.010852395750000007,0.03049304103478792
cat,9.543320203866996,10.123090863644986,0.024518124512500003,0.0492692052,0.22356746532022953,0.18210569582879538,0.5797706597779904,0.024751080687499996,-0.04146176949143415
deer,10.96753772685608,11.282243998644713,0.045717444375,0.02530062754375,0.23475489206612105,0.232040673494339,0.31470627178863353,-0.02041681683125,-0.0027142185717820566
dog,9.360161993941396,9.3467815851171,0.042952052374999994,0.0106208035625,0.1866246811114251,0.19979538023471832,-0.013380408824296808,-0.03233124881249999,0.013170699123293217
frog,9.55290153212265,10.764657204069342,0.01600350313125,0.029957385743750002,0.1912316372618079,0.1759329624474048,1.2117556719466922,0.013953882612500003,-0.015298674814403085
horse,9.528037899178692,9.657469080113277,0.045070459475000005,0.067704085754375,0.2066155564971268,0.22100276267156005,0.12943118093458494,0.022633626279375,0.014387206174433259
ship,10.32829372602378,10.471670234818918,0.08911651220625,0.07316684666875,0.26259348448365927,0.24242685735225677,0.14337650879513752,-0.015949665537500005,-0.020166627131402493
truck,8.420293718738503,9.020498431943427,0.020262890675,0.04424304996875,0.2129218596965074,0.1807887903414666,0.6002047132049242,0.023980159293750004,-0.03213306935504079
